"","set_num","name","year","theme","themeGroup","subtheme","weight","parts","size","boxSize","minifigs","instructionsCount","packagingType","availability","wantedByTotal","avgSellPrice","offersByTotal","USRetailPrice","profit","profitability","age"
"2778","75009-1","Snowspeeder & Hoth",2013,"Star Wars","Licensed","Planet Set",144,69,"14 x 19 x 4.5 cm",1197,1,2,"{Not specified}","{Not specified}",2917,31.63,7,9.99,21.64,216.62,5
"2779","75872-1","Audi R18 e-tron quattro",2016,"Speed Champions","Licensed","Audi",222,166,"19 x 14 x 6 cm",1596,1,2,"Box","Retail",914,18.08,37,14.99,3.09,20.61,2
"2780","76009-1","Superman: Black Zero Escape",2013,"DC Comics Super Heroes","Licensed","DC Extended Universe",326,168,"26 x 19 x 4.4 cm",2173.6,3,4,"Box","Retail",1253,17.97,120,19.99,-2.02,-10.11,5
"2781","70745-1","Anacondrai Crusher",2015,"Ninjago","Action/Adventure","Tournament of Elements",299,219,"26 x 19 x 4.5 cm",2223,2,2,"Box","Retail",431,20.86,13,19.99,0.870000000000001,4.35,3
"2782","75190-1","First Order Star Destroyer",2017,"Star Wars","Licensed","The Last Jedi",2400,1416,"58 x 37.5 x 10 cm",21750,7,2,"Box","Retail",2022,111.06,77,159.99,-48.93,-30.58,1
"2783","7166-1","Imperial Shuttle",2001,"Star Wars","Licensed","Episode VI",608,238,"28.6 x 28.7 x 7 cm",5745.74,4,1,"Box","Retail",2535,57,14,35,22,62.86,17
"2784","75085-1","Hailfire Droid",2015,"Star Wars","Licensed","Episode II",268,163,"20.5 x 19 x 6 cm",2337,3,2,"Box","Retail",1925,27.6,36,19.99,7.61,38.07,3
"2785","7711-1","Sentry",2006,"Exo-Force","Action/Adventure","Original",102,78,"14.2 x 14.2 x 3.7 cm",746.068,1,2,"Box","{Not specified}",546,22.49,10,4.99,17.5,350.7,12
"2786","75873-1","Audi R8 LMS ultra",2016,"Speed Champions","Licensed","Audi",235,175,"19 x 14 x 6 cm",1596,1,2,"Box","Retail",941,18.77,39,14.99,3.78,25.22,2
"2787","70746-1","Condrai Copter Attack",2015,"Ninjago","Action/Adventure","Tournament of Elements",455,311,"35.4 x 19 x 5.5 cm",3699.3,3,2,"Box","Retail",541,27.83,34,29.99,-2.16,-7.2,3
"2788","76010-1","Batman: The Penguin Face off",2014,"DC Comics Super Heroes","Licensed","Batman",140,136,"15.5 x 14 x 4.5 cm",976.5,2,2,"Box","Retail",1406,17.13,84,12.99,4.14,31.87,4
"2789","75010-1","B-Wing Starfighter & Planet Endor",2013,"Star Wars","Licensed","Planet Set",142,83,"14 x 19 x 4.5 cm",1197,1,2,"{Not specified}","{Not specified}",2684,15.16,40,9.99,5.17,51.75,5
"2790","7167-1","William Furno",2010,"HERO Factory","Constraction","no subtheme",135,19,"11.5 x 18 x 6 cm",1242,0,1,"{Not specified}","{Not specified}",347,20,3,7.99,12.01,150.31,8
"2791","75191-1","Jedi Starfighter with Hyperdrive",2017,"Star Wars","Licensed","Episode II",1400,825,"35 x 37.4 x 9 cm",11781,4,2,"Box","Retail - limited",2332,108.37,28,99.99,8.38000000000001,8.38,1
"2792","75086-1","Battle Droid Troop Carrier",2015,"Star Wars","Licensed","Episode I",561,565,"28 x 26.5 x 5.5 cm",4081,15,2,"Box","Retail",2065,60.86,43,39.99,20.87,52.19,3
"2793","7712-1","Supernova",2006,"Exo-Force","Action/Adventure","Original",444,287,"28.5 x 28.5 x 4.7 cm",3817.575,1,2,"Box","{Not specified}",795,34,2,20,14,70,12
"2794","75874-1","Chevrolet Camaro Drag Race",2016,"Speed Champions","Licensed","Chevrolet",607,445,"35.3 x 19 x 7 cm",4694.9,3,6,"Box","Retail",1011,38.45,40,29.99,8.46,28.21,2
"2795","70747-1","Boulder Blaster",2015,"Ninjago","Action/Adventure","Tournament of Elements",426,236,"35 x 19 x 5.5 cm",3657.5,3,3,"Box","Retail",661,26.83,21,29.99,-3.16,-10.54,3
"2796","75011-1","Tantive IV & Planet Alderaan",2013,"Star Wars","Licensed","Planet Set",149,102,"14 x 19 x 4.5 cm",1197,1,2,"{Not specified}","{Not specified}",2753,22.34,25,9.99,12.35,123.62,5
"2797","7168-1","Duncan Bulk",2010,"HERO Factory","Constraction","no subtheme",137,17,"11.5 x 18 x 6 cm",1242,0,1,"{Not specified}","{Not specified}",379,22.13,1,7.99,14.14,176.97,8
"2798","76011-1","Batman: Man-Bat Attack",2014,"DC Comics Super Heroes","Licensed","Batman",329,184,"26 x 19 x 6 cm",2964,3,1,"Box","Retail",1417,25.28,64,19.99,5.29,26.46,4
"2799","75192-1","Millennium Falcon",2017,"Star Wars","Licensed","Ultimate Collector Series",13150,7541,"54 x 45 x 39 cm",94770,8,2,"Box","LEGO exclusive",4229,1051.9,120,799.99,251.91,31.49,1
"2800","75087-1","Anakin's Custom Jedi Starfighter",2015,"Star Wars","Licensed","Miscellaneous",561.32,370,"27.5 x 26 x 5.5 cm",3932.5,3,2,"Box","Retail",2235,46.72,52,39.99,6.73,16.83,3
"2801","7713-1","Bridge Walker and White Lightning",2006,"Exo-Force","Action/Adventure","Original",1290,657,"47.5 x 38 x 6.7 cm",12093.5,4,4,"Box","{Not specified}",968,108,2,50,58,116,12
"2802","75875-1","Ford F-150 Raptor & Ford Model A Hot Rod",2016,"Speed Champions","Licensed","Ford",850,664,"38.2 x 26 x 7 cm",6952.4,4,6,"Box","Retail",1147,47.78,56,49.99,-2.21,-4.42,2
"2803","75012-1","BARC Speeder with Sidecar",2013,"Star Wars","Licensed","The Clone Wars",282,226,"26.1 x 18.9 x 4.6 cm",2269.134,4,2,"Box","Retail - limited",2279,55.27,16,24.99,30.28,121.17,5
"2804","70748-1","Titanium Dragon",2015,"Ninjago","Action/Adventure","Tournament of Elements",575,360,"38 x 26 x 5.3 cm",5236.4,3,2,"Box","Retail",777,42.57,23,39.99,2.58,6.45,3
"2805","76012-1","Batman: The Riddler Chase",2014,"DC Comics Super Heroes","Licensed","Batman",536,304,"35 x 19 x 7 cm",4655,3,4,"Box","Retail",1651,35.66,77,29.99,5.67,18.91,4
"2806","7169-1","Mark Surge",2010,"HERO Factory","Constraction","no subtheme",138.4,19,"11.5 x 18 x 6 cm",1242,0,1,"{Not specified}","{Not specified}",364,26.23,4,7.99,18.24,228.29,8
"2807","75088-1","Senate Commando Troopers",2015,"Star Wars","Licensed","Legends",120.8,106,"19.1 x 14.1 x 4.5 cm",1211.895,4,2,"Box","Retail",1635,13.94,90,12.99,0.949999999999999,7.31,3
"2808","75876-1","Porsche 919 Hybrid and 917K Pit Lane",2016,"Speed Champions","Licensed","Porsche",1060,732,"48 x 28 x 7.2 cm",9676.8,5,4,"Box","Retail",1120,76.9,59,69.99,6.91000000000001,9.87,2
"2809","70749-1","Enter the Serpent",2015,"Ninjago","Action/Adventure","Tournament of Elements",838,529,"48 x 28 x 6 cm",8064,5,2,"Box","Retail",733,51.77,18,59.99,-8.22,-13.7,3
"2810","7298-1","Dino Air Tracker",2005,"Dino 2010","Action/Adventure","no subtheme",1890,711,"65 x 38 x 9.5 cm",23465,4,2,"Box","{Not specified}",721,233.91,4,66.88,167.03,249.75,13
"2811","75013-1","Umbaran MHC (Mobile Heavy Cannon)",2013,"Star Wars","Licensed","The Clone Wars",620,493,"39 x 26 x 6 cm",6084,4,2,"Box","Retail - limited",2622,60.09,52,49.99,10.1,20.2,5
"2812","7170-2","Jimi Stringer",2010,"HERO Factory","Constraction","no subtheme",138.4,17,"11.5 x 18 x 6 cm",1242,0,1,"{Not specified}","{Not specified}",415,19.48,1,7.99,11.49,143.8,8
"2813","75089-1","Geonosis Troopers",2015,"Star Wars","Licensed","Legends",119.9,105,"19.1 x 14.1 x 4.5 cm",1211.895,4,2,"Box","Retail",1652,15.49,79,12.99,2.5,19.25,3
"2814","75877-1","Mercedes-AMG GT3",2017,"Speed Champions","Licensed","Mercedes",239,196,"18.9 x 13.9 x 5.9 cm",1549.989,1,2,"Box","Retail",926,15.16,62,14.99,0.17,1.13,1
"2815","76013-1","Batman: The Joker Steam Roller",2014,"DC Comics Super Heroes","Licensed","Batman",878,486,"38 x 26 x 9 cm",8892,5,4,"Box","Retail",1774,38.92,129,49.99,-11.07,-22.14,4
"2816","70750-1","Ninja DB X",2015,"Ninjago","Action/Adventure","Tournament of Elements",1328,756,"53.5 x 28 x 7.2 cm",10785.6,7,4,"Box","Retail",676,76.17,29,79.99,-3.81999999999999,-4.78,3
"2817","7171-1","Mos Espa Podrace",1999,"Star Wars","Licensed","Episode I",1800,896,"53.1 x 38.2 x 6.7 cm",13590.414,10,1,"Box","Retail",2492,170.81,16,90,80.81,89.79,19
"2818","75014-1","Battle of Hoth",2013,"Star Wars","Licensed","Episode V",633,426,"38 x 26 x 5.5 cm",5434,7,4,"Box","Retail - limited",3492,85.41,29,49.99,35.42,70.85,5
"2819","75090-1","Ezra's Speeder Bike",2015,"Star Wars","Licensed","Rebels",265,253,"26 x 14 x 6 cm",2184,3,4,"Box","Retail",1594,25.46,73,19.99,5.47,27.36,3
"2820","7620-1","Indiana Jones Motorcycle Chase",2008,"Indiana Jones","Licensed","Last Crusade",131,79,"24 x 14.5 x 5 cm",1740,3,1,"Box","Retail",1821,56.56,27,9.99,46.57,466.17,10
"2821","75878-1","Bugatti Chiron",2017,"Speed Champions","Licensed","Bugatti",200,181,"18.9 x 13.9 x 5.9 cm",1549.989,1,2,"Box","Retail",974,15.17,66,14.99,0.18,1.2,1
"2822","76014-1","Spider-Trike vs. Electro",2014,"Marvel Super Heroes","Licensed","Ultimate Spider-Man",110,70,"15.7 x 14.1 x 4.5 cm",996.165,2,2,"Box","Retail",1306,12.01,46,12.99,-0.98,-7.54,4
"2823","7075-1","Captain Redbeard's Pirate Ship",2004,"4 Juniors","Junior","Pirates",1887,131,"57.5 x 38.5 x 11 cm",24351.25,4,2,"{Not specified}","{Not specified}",227,107.39,8,40,67.39,168.47,14
"2824","75015-1","Corporate Alliance Tank Droid",2013,"Star Wars","Licensed","Episode II",276,271,"26.2 x 14.1 x 6.1 cm",2253.462,3,1,"Box","{Not specified}",2308,35.66,43,19.99,15.67,78.39,5
"2825","7621-1","Indiana Jones and the Lost Tomb",2008,"Indiana Jones","Licensed","Raiders of the Lost Ark",492,277,"28.5 x 28.5 x 4.5 cm",3655.125,3,1,"Box","Retail",1815,114.99,19,19.99,95,475.24,10
"2826","75879-1","Scuderia Ferrari SF16-H",2017,"Speed Champions","Licensed","Ferrari",205,184,"18.9 x 13.9 x 6 cm",1576.26,1,2,"Box","Retail",754,15.49,65,14.99,0.5,3.34,1
"2827","70751-1","Temple of Airjitzu",2015,"Ninjago","Action/Adventure","General",2952,2028,"58 x 47.5 x 9 cm",24795,13,4,"Box","LEGO exclusive",2465,204.87,87,199.99,4.88,2.44,3
